GO.ID	Term	Annotated	Significant	Expected	Fisher
1	GO:0006412	translation	341	184	42.44	< 1e-30
2	GO:1901566	organonitrogen compound biosynthetic pro...	589	232	73.31	< 1e-30
3	GO:0006518	peptide metabolic process	355	185	44.19	< 1e-30
4	GO:0043604	amide biosynthetic process	348	188	43.31	< 1e-30
5	GO:0034645	cellular macromolecule biosynthetic proc...	424	184	52.77	< 1e-30
6	GO:0043603	cellular amide metabolic process	364	188	45.31	< 1e-30
7	GO:0010467	gene expression	1320	261	164.3	1.0e-20
8	GO:0043043	peptide biosynthetic process	345	185	42.94	4.5e-19
9	GO:1901576	organic substance biosynthetic process	1581	295	196.78	5.2e-16
10	GO:1901564	organonitrogen compound metabolic proces...	2183	371	271.71	1.0e-15
11	GO:0034641	cellular nitrogen compound metabolic pro...	1759	331	218.94	2.2e-14
12	GO:0009058	biosynthetic process	1646	308	204.87	5.4e-13
13	GO:0009059	macromolecule biosynthetic process	1211	234	150.73	5.6e-13
14	GO:0044249	cellular biosynthetic process	1536	293	191.18	4.1e-12
15	GO:0015979	photosynthesis	69	34	8.59	4.1e-12
16	GO:0034660	ncRNA metabolic process	112	36	13.94	5.7e-12
17	GO:0044271	cellular nitrogen compound biosynthetic ...	1259	266	156.7	3.3e-08
18	GO:0008152	metabolic process	4698	645	584.75	4.1e-08
19	GO:0006520	cellular amino acid metabolic process	150	44	18.67	9.5e-08
20	GO:0019538	protein metabolic process	1858	299	231.26	4.0e-07
21	GO:0044237	cellular metabolic process	3505	507	436.26	1.3e-06
22	GO:0006091	generation of precursor metabolites and ...	88	29	10.95	7.3e-06
23	GO:0019693	ribose phosphate metabolic process	90	21	11.2	1.3e-05
24	GO:0006082	organic acid metabolic process	305	67	37.96	2.6e-05
25	GO:0046939	nucleotide phosphorylation	47	14	5.85	3.3e-05
26	GO:0006260	DNA replication	55	13	6.85	6.6e-05
27	GO:0009451	RNA modification	39	12	4.85	6.7e-05
28	GO:0006753	nucleoside phosphate metabolic process	120	24	14.94	7.3e-05
29	GO:0022613	ribonucleoprotein complex biogenesis	54	19	6.72	0.00013
30	GO:0044267	cellular protein metabolic process	1596	270	198.65	0.00013
31	GO:1901293	nucleoside phosphate biosynthetic proces...	62	14	7.72	0.00019
32	GO:0016052	carbohydrate catabolic process	52	13	6.47	0.00033
33	GO:0044085	cellular component biogenesis	137	26	17.05	0.00039
34	GO:0009690	cytokinin metabolic process	8	5	1	0.00078
35	GO:0009765	photosynthesis, light harvesting	16	11	1.99	0.00138
36	GO:0042445	hormone metabolic process	8	5	1	0.00188
