GO.ID	Term	Annotated	Significant	Expected	Fisher
1	GO:0005198	structural molecule activity	260	155	29.57	< 1e-30
2	GO:0016874	ligase activity	131	38	14.9	9.1e-09
3	GO:0003735	structural constituent of ribosome	242	155	27.52	3.2e-08
4	GO:0003723	RNA binding	228	45	25.93	4.5e-06
5	GO:0016741	transferase activity, transferring one-c...	190	33	21.61	0.00023
6	GO:0140098	catalytic activity, acting on RNA	174	37	19.79	0.00031
7	GO:0090079	translation regulator activity, nucleic ...	51	14	5.8	0.00050
8	GO:0005509	calcium ion binding	92	18	10.46	0.00068
9	GO:0016903	oxidoreductase activity, acting on the a...	28	10	3.18	0.00073
10	GO:0036094	small molecule binding	1717	202	195.27	0.00082
11	GO:0045182	translation regulator activity	51	14	5.8	0.00125
12	GO:0005506	iron ion binding	229	25	26.04	0.00182
13	GO:0000287	magnesium ion binding	77	15	8.76	0.00210
14	GO:0005516	calmodulin binding	31	8	3.53	0.00254
15	GO:0019843	rRNA binding	18	9	2.05	0.00257
16	GO:0008236	serine-type peptidase activity	114	20	12.96	0.00300
17	GO:0017171	serine hydrolase activity	114	20	12.96	0.00318
18	GO:0097159	organic cyclic compound binding	3191	343	362.9	0.00410
19	GO:1901363	heterocyclic compound binding	3191	343	362.9	0.00410
20	GO:0043177	organic acid binding	20	7	2.27	0.00569
21	GO:0019205	nucleobase-containing compound kinase ac...	20	6	2.27	0.00570
22	GO:0016407	acetyltransferase activity	48	8	5.46	0.00606
23	GO:0004743	pyruvate kinase activity	10	4	1.14	0.00624
24	GO:0016829	lyase activity	129	24	14.67	0.00673
25	GO:0016853	isomerase activity	124	23	14.1	0.00818
26	GO:0031420	alkali metal ion binding	10	4	1.14	0.00820
27	GO:0008081	phosphoric diester hydrolase activity	19	6	2.16	0.01027
28	GO:0016776	phosphotransferase activity, phosphate g...	10	4	1.14	0.01028
29	GO:0140640	catalytic activity, acting on a nucleic ...	267	42	30.37	0.01030
30	GO:0032561	guanyl ribonucleotide binding	153	25	17.4	0.01035
31	GO:0019001	guanyl nucleotide binding	157	25	17.86	0.01507
32	GO:0008173	RNA methyltransferase activity	21	8	2.39	0.01784
33	GO:0019139	cytokinin dehydrogenase activity	8	5	0.91	0.01865
34	GO:0140101	catalytic activity, acting on a tRNA	80	23	9.1	0.02065
35	GO:0051002	ligase activity, forming nitrogen-metal ...	3	3	0.34	0.02304
36	GO:0005525	GTP binding	153	25	17.4	0.02326
37	GO:0016645	oxidoreductase activity, acting on the C...	15	5	1.71	0.02352
38	GO:0042578	phosphoric ester hydrolase activity	138	16	15.69	0.02582
39	GO:0004784	superoxide dismutase activity	3	2	0.34	0.02683
40	GO:0004857	enzyme inhibitor activity	46	9	5.23	0.03126
41	GO:0003993	acid phosphatase activity	9	3	1.02	0.03201
42	GO:0003746	translation elongation factor activity	11	6	1.25	0.03276
43	GO:0016412	serine O-acyltransferase activity	4	2	0.45	0.03509
44	GO:0004550	nucleoside diphosphate kinase activity	6	4	0.68	0.03741
45	GO:0016721	oxidoreductase activity, acting on super...	3	2	0.34	0.03800
46	GO:0019825	oxygen binding	3	2	0.34	0.03813
47	GO:0050660	flavin adenine dinucleotide binding	54	11	6.14	0.03826
48	GO:0004812	aminoacyl-tRNA ligase activity	53	19	6.03	0.04107
49	GO:0070279	vitamin B6 binding	52	10	5.91	0.04670
50	GO:0003896	DNA primase activity	3	2	0.34	0.04786
51	GO:0004809	tRNA (guanine-N2-)-methyltransferase act...	4	2	0.45	0.04855
52	GO:0030170	pyridoxal phosphate binding	52	10	5.91	0.05256
53	GO:0043168	anion binding	1587	175	180.48	0.05376
54	GO:0005102	signaling receptor binding	5	2	0.57	0.05613
55	GO:0016410	N-acyltransferase activity	44	6	5	0.06642
56	GO:0004471	malate dehydrogenase (decarboxylating) (...	9	3	1.02	0.06840
57	GO:0016779	nucleotidyltransferase activity	107	15	12.17	0.07106
58	GO:0061134	peptidase regulator activity	20	5	2.27	0.07160
59	GO:0016778	diphosphotransferase activity	5	2	0.57	0.07377
60	GO:0016860	intramolecular oxidoreductase activity	22	7	2.5	0.07632
61	GO:0015103	inorganic anion transmembrane transporte...	33	5	3.75	0.08156
62	GO:0070566	adenylyltransferase activity	8	3	0.91	0.08157
63	GO:0003755	peptidyl-prolyl cis-trans isomerase acti...	28	5	3.18	0.08607
64	GO:0008509	anion transmembrane transporter activity	36	5	4.09	0.08954
65	GO:0015252	proton channel activity	9	2	1.02	0.09161
66	GO:0016887	ATP hydrolysis activity	130	13	14.78	0.09455
67	GO:0016628	oxidoreductase activity, acting on the C...	4	2	0.45	0.09866
68	GO:0016861	intramolecular oxidoreductase activity, ...	13	6	1.48	0.10062
69	GO:0016717	oxidoreductase activity, acting on paire...	11	3	1.25	0.10151
70	GO:0016875	ligase activity, forming carbon-oxygen b...	53	19	6.03	0.11040
71	GO:0016810	hydrolase activity, acting on carbon-nit...	36	6	4.09	0.11537
72	GO:0016769	transferase activity, transferring nitro...	13	3	1.48	0.11752
73	GO:0016413	O-acetyltransferase activity	5	2	0.57	0.12030
74	GO:0019842	vitamin binding	64	11	7.28	0.12243
75	GO:0051539	4 iron, 4 sulfur cluster binding	9	2	1.02	0.12505
76	GO:0015035	protein-disulfide reductase activity	60	8	6.82	0.13746
77	GO:0019203	carbohydrate phosphatase activity	8	2	0.91	0.14817
78	GO:0044877	protein-containing complex binding	14	3	1.59	0.15261
79	GO:0030545	signaling receptor regulator activity	5	2	0.57	0.15308
80	GO:0008271	secondary active sulfate transmembrane t...	10	2	1.14	0.15509
81	GO:0003779	actin binding	16	3	1.82	0.15716
82	GO:0008233	peptidase activity	309	33	35.14	0.16157
83	GO:0022832	voltage-gated channel activity	14	2	1.59	0.16221
84	GO:1901682	sulfur compound transmembrane transporte...	10	2	1.14	0.16472
85	GO:0097367	carbohydrate derivative binding	1496	157	170.14	0.17090
86	GO:0004634	phosphopyruvate hydratase activity	4	2	0.45	0.17928
87	GO:0016615	malate dehydrogenase activity	13	3	1.48	0.18973
88	GO:0043167	ion binding	2713	277	308.54	0.19171
89	GO:1901265	nucleoside phosphate binding	1627	183	185.03	0.19204
90	GO:0098772	molecular function regulator activity	89	13	10.12	0.20778
91	GO:0004751	ribose-5-phosphate isomerase activity	4	3	0.45	0.21678
92	GO:0051287	NAD binding	44	7	5	0.21848
93	GO:0016491	oxidoreductase activity	1029	121	117.02	0.22220
94	GO:0005543	phospholipid binding	28	2	3.18	0.22868
95	GO:0004222	metalloendopeptidase activity	25	4	2.84	0.23558
96	GO:0004252	serine-type endopeptidase activity	55	9	6.25	0.23766
97	GO:0016814	hydrolase activity, acting on carbon-nit...	11	3	1.25	0.25183
98	GO:0000049	tRNA binding	9	3	1.02	0.25235
99	GO:0005507	copper ion binding	27	3	3.07	0.25498
100	GO:0004427	inorganic diphosphatase activity	11	2	1.25	0.25827
101	GO:0005244	voltage-gated ion channel activity	14	2	1.59	0.26113
102	GO:0016987	sigma factor activity	5	1	0.57	0.26345
103	GO:0008238	exopeptidase activity	50	7	5.69	0.27117
104	GO:0015930	glutamate synthase activity	3	1	0.34	0.27273
105	GO:0005261	cation channel activity	15	2	1.71	0.27407
106	GO:0016742	hydroxymethyl-, formyl- and related tran...	6	2	0.68	0.27933
107	GO:0140102	catalytic activity, acting on a rRNA	5	2	0.57	0.28787
108	GO:0042802	identical protein binding	4	1	0.45	0.28875
109	GO:0004826	phenylalanine-tRNA ligase activity	3	2	0.34	0.28955
110	GO:0004827	proline-tRNA ligase activity	3	2	0.34	0.28955
111	GO:0046983	protein dimerization activity	145	14	16.49	0.28975
112	GO:0016157	sucrose synthase activity	9	1	1.02	0.29032
113	GO:0004470	malic enzyme activity	9	3	1.02	0.29371
114	GO:0008199	ferric iron binding	3	1	0.34	0.29420
115	GO:0016755	aminoacyltransferase activity	4	1	0.45	0.29617
116	GO:0016758	hexosyltransferase activity	287	23	32.64	0.29818
117	GO:0004867	serine-type endopeptidase inhibitor acti...	12	4	1.36	0.30650
118	GO:0016161	beta-amylase activity	8	2	0.91	0.30769
119	GO:0016872	intramolecular lyase activity	6	2	0.68	0.30822
120	GO:0016462	pyrophosphatase activity	178	16	20.24	0.30837
121	GO:0016160	amylase activity	14	2	1.59	0.30942
122	GO:0016846	carbon-sulfur lyase activity	6	2	0.68	0.30966
123	GO:0004618	phosphoglycerate kinase activity	4	1	0.45	0.31034
124	GO:0010181	FMN binding	18	3	2.05	0.31993
125	GO:0004659	prenyltransferase activity	13	2	1.48	0.32152
126	GO:0003849	3-deoxy-7-phosphoheptulonate synthase ac...	4	1	0.45	0.32152
127	GO:0003700	DNA-binding transcription factor activit...	356	21	40.49	0.32532
128	GO:0030414	peptidase inhibitor activity	20	5	2.27	0.32785
129	GO:0016423	tRNA (guanine) methyltransferase activit...	7	2	0.8	0.32891
130	GO:0016774	phosphotransferase activity, carboxyl gr...	4	1	0.45	0.32928
131	GO:0030247	polysaccharide binding	55	7	6.25	0.33212
132	GO:0000774	adenyl-nucleotide exchange factor activi...	4	1	0.45	0.33637
133	GO:0042803	protein homodimerization activity	4	1	0.45	0.33678
134	GO:0001882	nucleoside binding	11	2	1.25	0.33707
135	GO:0004645	1,4-alpha-oligoglucan phosphorylase acti...	5	1	0.57	0.34344
136	GO:0015079	potassium ion transmembrane transporter ...	26	3	2.96	0.34647
137	GO:0004097	catechol oxidase activity	6	1	0.68	0.35484
138	GO:0042132	fructose 1,6-bisphosphate 1-phosphatase ...	5	2	0.57	0.35714
139	GO:0016670	oxidoreductase activity, acting on a sul...	3	1	0.34	0.35728
140	GO:0016627	oxidoreductase activity, acting on the C...	26	4	2.96	0.36596
141	GO:0016667	oxidoreductase activity, acting on a sul...	74	10	8.42	0.36840
142	GO:0008171	O-methyltransferase activity	30	6	3.41	0.36870
143	GO:0030151	molybdenum ion binding	7	1	0.8	0.37731
144	GO:0030145	manganese ion binding	7	1	0.8	0.37731
145	GO:0016880	acid-ammonia (or amide) ligase activity	5	2	0.57	0.37875
146	GO:0043021	ribonucleoprotein complex binding	6	2	0.68	0.38462
147	GO:0016682	oxidoreductase activity, acting on diphe...	12	2	1.36	0.38596
148	GO:0008443	phosphofructokinase activity	16	2	1.82	0.38765
149	GO:0019239	deaminase activity	5	1	0.57	0.39090
150	GO:0015291	secondary active transmembrane transport...	80	7	9.1	0.39153
151	GO:0016725	oxidoreductase activity, acting on CH or...	4	1	0.45	0.39418
