GO.ID	Term	Annotated	Significant	Expected	Fisher
1	GO:0010468	regulation of gene expression	709	48	34.94	8.9e-09
2	GO:0097659	nucleic acid-templated transcription	783	49	38.59	4.0e-08
3	GO:0034654	nucleobase-containing compound biosynthe...	854	52	42.09	1.5e-07
4	GO:0032774	RNA biosynthetic process	785	49	38.69	1.0e-06
5	GO:0051252	regulation of RNA metabolic process	678	47	33.41	1.0e-06
6	GO:0010556	regulation of macromolecule biosynthetic...	685	48	33.76	1.3e-06
7	GO:1901362	organic cyclic compound biosynthetic pro...	957	57	47.16	1.7e-06
8	GO:0019219	regulation of nucleobase-containing comp...	691	47	34.05	1.8e-06
9	GO:0019438	aromatic compound biosynthetic process	908	54	44.75	3.7e-06
10	GO:0018130	heterocycle biosynthetic process	915	54	45.09	5.4e-06
11	GO:0051171	regulation of nitrogen compound metaboli...	711	49	35.04	6.1e-06
12	GO:0031323	regulation of cellular metabolic process	714	49	35.19	1.5e-05
13	GO:0009889	regulation of biosynthetic process	685	48	33.76	3.3e-05
14	GO:0031326	regulation of cellular biosynthetic proc...	685	48	33.76	5.2e-05
15	GO:0060255	regulation of macromolecule metabolic pr...	732	49	36.07	0.00015
16	GO:0050794	regulation of cellular process	974	60	48	0.00016
17	GO:0032502	developmental process	63	11	3.1	0.00022
18	GO:0032501	multicellular organismal process	90	13	4.44	0.00042
19	GO:0005976	polysaccharide metabolic process	53	9	2.61	0.00043
20	GO:0005975	carbohydrate metabolic process	388	31	19.12	0.00064
21	GO:0080090	regulation of primary metabolic process	711	49	35.04	0.00077
22	GO:0044264	cellular polysaccharide metabolic proces...	45	7	2.22	0.00109
23	GO:0006464	cellular protein modification process	1161	51	57.22	0.00161
24	GO:0019222	regulation of metabolic process	738	49	36.37	0.00221
25	GO:0009628	response to abiotic stimulus	15	5	0.74	0.00305
26	GO:0001101	response to acid chemical	4	3	0.2	0.00386
27	GO:0044271	cellular nitrogen compound biosynthetic ...	1259	58	62.05	0.00472
28	GO:0050896	response to stimulus	538	40	26.51	0.00509
29	GO:0044262	cellular carbohydrate metabolic process	84	9	4.14	0.00781
30	GO:0036211	protein modification process	1161	51	57.22	0.01053
31	GO:0072330	monocarboxylic acid biosynthetic process	56	6	2.76	0.01725
