GO.ID	Term	Annotated	Significant	Expected	Fisher
1	GO:0030312	external encapsulating structure	32	7	1.29	0.00023
2	GO:0005576	extracellular region	34	6	1.37	0.00218
3	GO:0031224	intrinsic component of membrane	633	39	25.59	0.00287
4	GO:0071944	cell periphery	91	10	3.68	0.00350
5	GO:0005875	microtubule associated complex	55	4	2.22	0.01651
6	GO:0032993	protein-DNA complex	33	3	1.33	0.01910
7	GO:0044815	DNA packaging complex	35	3	1.42	0.02244
8	GO:0005856	cytoskeleton	111	7	4.49	0.02281
9	GO:0016020	membrane	1395	68	56.4	0.02295
10	GO:0005634	nucleus	528	19	21.35	0.05105
11	GO:0099023	vesicle tethering complex	33	2	1.33	0.12063
12	GO:0005811	lipid droplet	5	1	0.2	0.13896
13	GO:0005885	Arp2/3 protein complex	8	1	0.32	0.14982
14	GO:0031226	intrinsic component of plasma membrane	3	1	0.12	0.16796
15	GO:0043229	intracellular organelle	1166	33	47.14	0.18133
16	GO:0048046	apoplast	20	5	0.81	0.19021
17	GO:0009536	plastid	8	1	0.32	0.20512
18	GO:0005615	extracellular space	6	1	0.24	0.22228
19	GO:0005938	cell cortex	29	2	1.17	0.24401
20	GO:0000785	chromatin	42	3	1.7	0.24627
21	GO:0110165	cellular anatomical entity	2732	112	110.45	0.26796
22	GO:0005819	spindle	11	1	0.44	0.28211
23	GO:0005789	endoplasmic reticulum membrane	44	1	1.78	0.34646
24	GO:0005667	transcription regulator complex	26	1	1.05	0.39195
25	GO:0000786	nucleosome	33	3	1.33	0.41196
26	GO:0005694	chromosome	82	3	3.32	0.44351
27	GO:0043228	non-membrane-bounded organelle	443	13	17.91	0.49833
28	GO:0043232	intracellular non-membrane-bounded organ...	443	13	17.91	0.49990
29	GO:0043231	intracellular membrane-bounded organelle	768	22	31.05	0.53955
30	GO:0043227	membrane-bounded organelle	769	22	31.09	0.54377
31	GO:0015629	actin cytoskeleton	29	2	1.17	0.58908
32	GO:0098827	endoplasmic reticulum subcompartment	44	1	1.78	0.59459
33	GO:0016021	integral component of membrane	625	39	25.27	0.59950
34	GO:0099080	supramolecular complex	22	1	0.89	0.60329
35	GO:0015630	microtubule cytoskeleton	79	5	3.19	0.67638
36	GO:0005874	microtubule	19	1	0.77	0.75253
37	GO:0099513	polymeric cytoskeletal fiber	20	1	0.81	0.76169
38	GO:0000145	exocyst	29	2	1.17	0.76894
39	GO:0005618	cell wall	31	7	1.25	0.78125
40	GO:0005871	kinesin complex	43	3	1.74	0.79607
41	GO:0005886	plasma membrane	30	1	1.21	0.80759
42	GO:0031984	organelle subcompartment	45	1	1.82	0.85033
43	GO:0042175	nuclear outer membrane-endoplasmic retic...	44	1	1.78	0.88559
44	GO:0005783	endoplasmic reticulum	73	1	2.95	0.88565
45	GO:0099081	supramolecular polymer	20	1	0.81	0.90909
46	GO:0005739	mitochondrion	90	1	3.64	0.93296
47	GO:0012505	endomembrane system	133	1	5.38	0.99669
48	GO:0031090	organelle membrane	127	1	5.13	0.99713
49	GO:0005737	cytoplasm	435	8	17.59	0.99855
50	GO:0043226	organelle	1167	33	47.18	0.99884
51	GO:0005840	ribosome	240	2	9.7	0.99945
52	GO:0032991	protein-containing complex	593	11	23.97	0.99970
53	GO:0005622	intracellular anatomical structure	1508	39	60.97	1.00000
54	GO:0099512	supramolecular fiber	20	1	0.81	1.00000
55	GO:0012511	monolayer-surrounded lipid storage body	5	1	0.2	1.00000
56	GO:0005575	cellular_component	2795	113	113	1.00000
57	GO:0009507	chloroplast	8	1	0.32	1.00000
58	GO:0000015	phosphopyruvate hydratase complex	4	0	0.16	1.00000
59	GO:0000123	histone acetyltransferase complex	13	0	0.53	1.00000
60	GO:0000139	Golgi membrane	11	0	0.44	1.00000
61	GO:0000148	1,3-beta-D-glucan synthase complex	11	0	0.44	1.00000
62	GO:0000151	ubiquitin ligase complex	9	0	0.36	1.00000
63	GO:0000152	nuclear ubiquitin ligase complex	7	0	0.28	1.00000
64	GO:0000159	protein phosphatase type 2A complex	14	0	0.57	1.00000
65	GO:0000178	exosome (RNase complex)	5	0	0.2	1.00000
66	GO:0000228	nuclear chromosome	18	0	0.73	1.00000
67	GO:0000275	mitochondrial proton-transporting ATP sy...	3	0	0.12	1.00000
68	GO:0000276	mitochondrial proton-transporting ATP sy...	5	0	0.2	1.00000
69	GO:0000428	DNA-directed RNA polymerase complex	18	0	0.73	1.00000
70	GO:0000439	transcription factor TFIIH core complex	5	0	0.2	1.00000
71	GO:0000502	proteasome complex	25	0	1.01	1.00000
72	GO:0000775	chromosome, centromeric region	8	0	0.32	1.00000
73	GO:0000776	kinetochore	3	0	0.12	1.00000
74	GO:0000779	condensed chromosome, centromeric region	3	0	0.12	1.00000
75	GO:0000793	condensed chromosome	12	0	0.49	1.00000
76	GO:0000794	condensed nuclear chromosome	3	0	0.12	1.00000
77	GO:0000808	origin recognition complex	4	0	0.16	1.00000
78	GO:0000922	spindle pole	5	0	0.2	1.00000
79	GO:0005635	nuclear envelope	16	0	0.65	1.00000
80	GO:0005643	nuclear pore	15	0	0.61	1.00000
81	GO:0005654	nucleoplasm	30	0	1.21	1.00000
82	GO:0005669	transcription factor TFIID complex	6	0	0.24	1.00000
83	GO:0005672	transcription factor TFIIA complex	3	0	0.12	1.00000
84	GO:0005680	anaphase-promoting complex	7	0	0.28	1.00000
85	GO:0005681	spliceosomal complex	13	0	0.53	1.00000
86	GO:0005685	U1 snRNP	5	0	0.2	1.00000
87	GO:0005730	nucleolus	6	0	0.24	1.00000
88	GO:0005732	sno(s)RNA-containing ribonucleoprotein c...	7	0	0.28	1.00000
89	GO:0005740	mitochondrial envelope	40	0	1.62	1.00000
90	GO:0005741	mitochondrial outer membrane	12	0	0.49	1.00000
91	GO:0005742	mitochondrial outer membrane translocase...	3	0	0.12	1.00000
92	GO:0005743	mitochondrial inner membrane	23	0	0.93	1.00000
93	GO:0005744	TIM23 mitochondrial import inner membran...	5	0	0.2	1.00000
94	GO:0005746	mitochondrial respirasome	5	0	0.2	1.00000
95	GO:0005753	mitochondrial proton-transporting ATP sy...	8	0	0.32	1.00000
96	GO:0005759	mitochondrial matrix	9	0	0.36	1.00000
97	GO:0005773	vacuole	4	0	0.16	1.00000
98	GO:0005774	vacuolar membrane	4	0	0.16	1.00000
99	GO:0005777	peroxisome	21	0	0.85	1.00000
100	GO:0005778	peroxisomal membrane	10	0	0.4	1.00000
101	GO:0005779	integral component of peroxisomal membra...	7	0	0.28	1.00000
102	GO:0005787	signal peptidase complex	5	0	0.2	1.00000
103	GO:0005791	rough endoplasmic reticulum	3	0	0.12	1.00000
104	GO:0005794	Golgi apparatus	33	0	1.33	1.00000
105	GO:0005798	Golgi-associated vesicle	11	0	0.44	1.00000
106	GO:0005801	cis-Golgi network	6	0	0.24	1.00000
107	GO:0005815	microtubule organizing center	7	0	0.28	1.00000
108	GO:0005829	cytosol	7	0	0.28	1.00000
109	GO:0005834	heterotrimeric G-protein complex	3	0	0.12	1.00000
110	GO:0005838	proteasome regulatory particle	3	0	0.12	1.00000
111	GO:0005839	proteasome core complex	21	0	0.85	1.00000
112	GO:0005849	mRNA cleavage factor complex	3	0	0.12	1.00000
113	GO:0005852	eukaryotic translation initiation factor...	14	0	0.57	1.00000
114	GO:0005905	clathrin-coated pit	5	0	0.2	1.00000
115	GO:0005956	protein kinase CK2 complex	3	0	0.12	1.00000
116	GO:0005963	magnesium-dependent protein serine/threo...	14	0	0.57	1.00000
117	GO:0008023	transcription elongation factor complex	6	0	0.24	1.00000
118	GO:0008287	protein serine/threonine phosphatase com...	14	0	0.57	1.00000
119	GO:0008303	caspase complex	5	0	0.2	1.00000
120	GO:0009331	glycerol-3-phosphate dehydrogenase compl...	5	0	0.2	1.00000
121	GO:0009521	photosystem	44	0	1.78	1.00000
122	GO:0009522	photosystem I	9	0	0.36	1.00000
123	GO:0009523	photosystem II	31	0	1.25	1.00000
124	GO:0009538	photosystem I reaction center	5	0	0.2	1.00000
125	GO:0009539	photosystem II reaction center	4	0	0.16	1.00000
126	GO:0009579	thylakoid	46	0	1.86	1.00000
127	GO:0009654	photosystem II oxygen evolving complex	22	0	0.89	1.00000
128	GO:0009898	cytoplasmic side of plasma membrane	3	0	0.12	1.00000
129	GO:0012506	vesicle membrane	21	0	0.85	1.00000
130	GO:0012507	ER to Golgi transport vesicle membrane	10	0	0.4	1.00000
131	GO:0012510	trans-Golgi network transport vesicle me...	5	0	0.2	1.00000
132	GO:0015934	large ribosomal subunit	11	0	0.44	1.00000
133	GO:0015935	small ribosomal subunit	3	0	0.12	1.00000
