GO.ID	Term	Annotated	Significant	Expected	Fisher
1	GO:0046906	tetrapyrrole binding	282	40	14.58	7.3e-10
2	GO:0016491	oxidoreductase activity	1029	94	53.2	4.9e-07
3	GO:0005506	iron ion binding	229	33	11.84	3.0e-06
4	GO:0003677	DNA binding	804	46	41.57	7.9e-06
5	GO:0016705	oxidoreductase activity, acting on paire...	223	35	11.53	0.00022
6	GO:0016798	hydrolase activity, acting on glycosyl b...	257	26	13.29	0.00028
7	GO:0140110	transcription regulator activity	375	35	19.39	0.00048
8	GO:0008171	O-methyltransferase activity	30	5	1.55	0.00048
9	GO:0016887	ATP hydrolysis activity	130	13	6.72	0.00332
10	GO:0003824	catalytic activity	4951	285	255.99	0.00364
11	GO:0046983	protein dimerization activity	145	14	7.5	0.00381
12	GO:0016773	phosphotransferase activity, alcohol gro...	966	44	49.95	0.00503
13	GO:0016757	glycosyltransferase activity	348	26	17.99	0.00665
14	GO:0043169	cation binding	1192	81	61.63	0.00866
15	GO:0016209	antioxidant activity	98	11	5.07	0.01208
16	GO:0008289	lipid binding	58	7	3	0.02451
17	GO:0050660	flavin adenine dinucleotide binding	54	6	2.79	0.02626
18	GO:0016762	xyloglucan:xyloglucosyl transferase acti...	20	5	1.03	0.02627
19	GO:0003883	CTP synthase activity	5	2	0.26	0.02652
20	GO:0016301	kinase activity	971	43	50.2	0.02783
21	GO:0140102	catalytic activity, acting on a rRNA	5	1	0.26	0.02874
22	GO:0030597	RNA glycosylase activity	3	1	0.16	0.03226
23	GO:0043167	ion binding	2713	151	140.27	0.03298
24	GO:0004143	diacylglycerol kinase activity	7	2	0.36	0.03383
25	GO:0043565	sequence-specific DNA binding	229	19	11.84	0.03771
26	GO:0016879	ligase activity, forming carbon-nitrogen...	47	3	2.43	0.04429
27	GO:0016835	carbon-oxygen lyase activity	47	6	2.43	0.05792
28	GO:0050661	NADP binding	21	3	1.09	0.06237
29	GO:0033764	steroid dehydrogenase activity, acting o...	24	2	1.24	0.06314
30	GO:0005253	anion channel activity	14	2	0.72	0.07230
31	GO:0070569	uridylyltransferase activity	8	1	0.41	0.07477
32	GO:0005244	voltage-gated ion channel activity	14	2	0.72	0.09108
33	GO:0070001	aspartic-type peptidase activity	57	4	2.95	0.09170
34	GO:0015103	inorganic anion transmembrane transporte...	33	3	1.71	0.09214
35	GO:0004175	endopeptidase activity	169	8	8.74	0.09252
36	GO:0005507	copper ion binding	27	4	1.4	0.12516
37	GO:0016744	transketolase or transaldolase activity	3	1	0.16	0.13333
38	GO:0030599	pectinesterase activity	10	2	0.52	0.13846
39	GO:0008509	anion transmembrane transporter activity	36	3	1.86	0.13856
40	GO:0045735	nutrient reservoir activity	3	1	0.16	0.14724
41	GO:0005516	calmodulin binding	31	3	1.6	0.15713
42	GO:0004721	phosphoprotein phosphatase activity	89	6	4.6	0.15718
43	GO:0016755	aminoacyltransferase activity	4	1	0.21	0.16203
44	GO:0022832	voltage-gated channel activity	14	2	0.72	0.16221
45	GO:0003951	NAD+ kinase activity	4	1	0.21	0.16327
46	GO:0035639	purine ribonucleoside triphosphate bindi...	1298	60	67.11	0.16544
47	GO:0016709	oxidoreductase activity, acting on paire...	10	3	0.52	0.17165
48	GO:0008079	translation termination factor activity	9	1	0.47	0.17647
49	GO:0016684	oxidoreductase activity, acting on perox...	89	11	4.6	0.17844
50	GO:0046527	glucosyltransferase activity	52	6	2.69	0.18771
51	GO:0004672	protein kinase activity	854	39	44.16	0.19531
52	GO:0005092	GDP-dissociation inhibitor activity	4	1	0.21	0.20000
53	GO:0140657	ATP-dependent activity	247	16	12.77	0.20872
54	GO:0034212	peptide N-acetyltransferase activity	9	1	0.47	0.20930
55	GO:0016817	hydrolase activity, acting on acid anhyd...	195	13	10.08	0.21905
56	GO:0032561	guanyl ribonucleotide binding	153	9	7.91	0.22146
57	GO:0019104	DNA N-glycosylase activity	9	1	0.47	0.22146
58	GO:0016872	intramolecular lyase activity	6	1	0.31	0.22290
59	GO:0016717	oxidoreductase activity, acting on paire...	11	3	0.57	0.23940
60	GO:0016746	acyltransferase activity	205	12	10.6	0.23991
61	GO:0019001	guanyl nucleotide binding	157	9	8.12	0.24221
62	GO:0000166	nucleotide binding	1627	72	84.12	0.24222
63	GO:0008092	cytoskeletal protein binding	76	5	3.93	0.24791
64	GO:0051861	glycolipid binding	6	1	0.31	0.24892
65	GO:0004601	peroxidase activity	87	11	4.5	0.24995
66	GO:0046914	transition metal ion binding	813	59	42.04	0.25782
67	GO:0004190	aspartic-type endopeptidase activity	57	4	2.95	0.26271
68	GO:0004177	aminopeptidase activity	7	1	0.36	0.26286
69	GO:0004650	polygalacturonase activity	10	2	0.52	0.26633
70	GO:0005525	GTP binding	153	9	7.91	0.26885
71	GO:0022836	gated channel activity	34	2	1.76	0.27827
72	GO:0008237	metallopeptidase activity	33	2	1.71	0.29003
73	GO:0016791	phosphatase activity	113	6	5.84	0.29406
74	GO:0046873	metal ion transmembrane transporter acti...	62	3	3.21	0.29756
75	GO:0015144	carbohydrate transmembrane transporter a...	8	1	0.41	0.30716
76	GO:0016161	beta-amylase activity	8	2	0.41	0.30769
77	GO:0004664	prephenate dehydratase activity	4	1	0.21	0.31159
78	GO:1901363	heterocyclic compound binding	3191	164	164.99	0.31195
79	GO:0097159	organic cyclic compound binding	3191	164	164.99	0.31195
80	GO:0004222	metalloendopeptidase activity	25	2	1.29	0.31490
81	GO:0005319	lipid transporter activity	7	1	0.36	0.31660
82	GO:0008271	secondary active sulfate transmembrane t...	10	1	0.52	0.32079
83	GO:0061733	peptide-lysine-N-acetyltransferase activ...	9	1	0.47	0.32129
84	GO:0016760	cellulose synthase (UDP-forming) activit...	10	1	0.52	0.32258
85	GO:0016829	lyase activity	129	9	6.67	0.32428
86	GO:0016846	carbon-sulfur lyase activity	6	1	0.31	0.35784
87	GO:0052689	carboxylic ester hydrolase activity	26	2	1.34	0.36018
88	GO:1901682	sulfur compound transmembrane transporte...	10	1	0.52	0.36864
89	GO:0004089	carbonate dehydratase activity	5	1	0.26	0.38043
90	GO:0016462	pyrophosphatase activity	178	13	9.2	0.38766
91	GO:0046872	metal ion binding	1179	81	60.96	0.39866
92	GO:0004497	monooxygenase activity	25	3	1.29	0.40382
93	GO:0016645	oxidoreductase activity, acting on the C...	15	2	0.78	0.40471
94	GO:0016160	amylase activity	14	2	0.72	0.42311
95	GO:0017111	nucleoside-triphosphatase activity	167	13	8.63	0.42333
96	GO:0016799	hydrolase activity, hydrolyzing N-glycos...	14	2	0.72	0.42457
97	GO:0003700	DNA-binding transcription factor activit...	356	34	18.41	0.45378
98	GO:0005543	phospholipid binding	28	4	1.45	0.46019
99	GO:0004129	cytochrome-c oxidase activity	9	1	0.47	0.46475
100	GO:0046556	alpha-L-arabinofuranosidase activity	6	1	0.31	0.47531
101	GO:0016765	transferase activity, transferring alkyl...	34	2	1.76	0.47558
102	GO:0008417	fucosyltransferase activity	8	1	0.41	0.47600
103	GO:0140097	catalytic activity, acting on DNA	74	1	3.83	0.47825
104	GO:0005215	transporter activity	532	28	27.51	0.48982
105	GO:0005524	ATP binding	1145	51	59.2	0.49843
106	GO:0008238	exopeptidase activity	50	2	2.59	0.50107
107	GO:0016758	hexosyltransferase activity	287	22	14.84	0.50807
108	GO:0030246	carbohydrate binding	114	6	5.89	0.50939
109	GO:0016702	oxidoreductase activity, acting on singl...	23	2	1.19	0.51008
110	GO:0003777	microtubule motor activity	43	3	2.22	0.51758
111	GO:0016840	carbon-nitrogen lyase activity	10	1	0.52	0.52800
112	GO:0008443	phosphofructokinase activity	16	1	0.83	0.52853
113	GO:0003774	cytoskeletal motor activity	54	3	2.79	0.53420
114	GO:0009055	electron transfer activity	108	10	5.58	0.53622
115	GO:0020037	heme binding	278	40	14.37	0.54041
116	GO:0015020	glucuronosyltransferase activity	10	1	0.52	0.55552
117	GO:0016747	acyltransferase activity, transferring g...	164	10	8.48	0.55659
118	GO:0004722	protein serine/threonine phosphatase act...	68	5	3.52	0.56506
119	GO:0010181	FMN binding	18	1	0.93	0.56727
120	GO:0008378	galactosyltransferase activity	24	2	1.24	0.56885
121	GO:0015108	chloride transmembrane transporter activ...	8	1	0.41	0.57845
122	GO:0016675	oxidoreductase activity, acting on a hem...	9	1	0.47	0.57924
123	GO:0043177	organic acid binding	20	1	1.03	0.58775
124	GO:0003697	single-stranded DNA binding	15	1	0.78	0.59007
125	GO:0061134	peptidase regulator activity	20	1	1.03	0.59441
126	GO:0060589	nucleoside-triphosphatase regulator acti...	20	1	1.03	0.59441
127	GO:0030598	rRNA N-glycosylase activity	3	1	0.16	0.60000
128	GO:0004867	serine-type endopeptidase inhibitor acti...	12	1	0.62	0.60000
129	GO:0016838	carbon-oxygen lyase activity, acting on ...	22	3	1.14	0.60251
130	GO:0032553	ribonucleotide binding	1472	65	76.11	0.61195
131	GO:0022853	active ion transmembrane transporter act...	53	2	2.74	0.62531
132	GO:0030247	polysaccharide binding	55	3	2.84	0.62643
133	GO:0016831	carboxy-lyase activity	29	1	1.5	0.63043
134	GO:0004857	enzyme inhibitor activity	46	2	2.38	0.63489
135	GO:0019200	carbohydrate kinase activity	22	1	1.14	0.63493
136	GO:0015399	primary active transmembrane transporter...	79	3	4.08	0.65328
